controllerToClosetCandies,
,1.323065
,1.322041
,1.324748
,1.326886
,1.328082
,1.33042
,1.332002
,1.333984
,1.33471
,1.33647
,1.337913
,1.339241
,1.341545
,1.343784
,1.345553
,1.347768
,1.349189
,1.350603
,1.3513
,1.351055
,1.349048
,1.346719
,1.343899
,1.338815
,1.332173
,1.325665
,1.31782
,1.309854
,1.300199
,1.291301
,1.28284
,1.276959
,1.269481
,1.269234
,1.270079
,1.273118
,1.277985
,1.283337
,1.288825
,1.294208
,1.298035
,1.305003
,1.309791
,1.316143
,1.319263
,1.324031
,1.328457
,1.331685
,1.335337
,1.33776
,1.339772
,1.340937
,1.342068
,1.342484
,1.342126
,1.340736
,1.339115
,1.337217
,1.333939
,1.329745
,1.324912
,1.319061
,1.313248
,1.307266
,1.301003
,1.295111
,1.289199
,1.284927
,1.281449
,1.280895
,1.279113
,1.279868
,1.280366
,1.280756
,1.282129
,1.282936
,1.28411
,1.28485
,1.286231
,1.287992
,1.289917
,1.292813
,1.295781
,1.29935
,1.303648
,1.307757
,1.312215
,1.315724
,1.318042
,1.319236
,1.319962
,1.318918
,1.316313
,1.313611
,1.309256
,1.302646
,1.296203
,1.288584
,1.280292
,1.272391
,1.265083
,1.258427
,1.252879
,1.247702
,1.245458
,1.245294
,1.244589
,1.246822
,1.250157
,1.253469
,1.256582
,1.260367
,1.26354
,1.267162
,1.27063
,1.274169
,1.278174
,1.282152
,1.284813
,1.288081
,1.291007
,1.293088
,1.294617
,1.295627
,1.295332
,1.294994
,1.294571
,1.292334
,1.290081
,1.287317
,1.283396
,1.279529
,1.275211
,1.270326
,1.265221
,1.259369
,1.252643
,1.245295
,1.23756
,1.229086
,1.219302
,1.210898
,1.199311
,1.188071
,1.178214
,1.166885
,1.156065
,1.145378
,1.134187
,1.12374
,1.113252
,1.102725
,1.091587
,1.080434
,1.068269
,1.055234
,1.04149
,1.027206
,1.012588
,0.9988918
,0.9833155
,0.9681393
,0.9536219
,0.9393661
,0.9253654
,0.9125182
,0.9001114
,0.8880835
,0.8758262
,0.8640693
,0.8521706
,0.8400809
,0.82828
,0.8166147
,0.8054203
,0.7944384
,0.7836967
,0.7725751
,0.7632903
,0.7536553
,0.7444772
,0.7359626
,0.7278521
,0.7199842
,0.7132158
,0.7045768
,0.6983504
,0.6921281
,0.6862319
,0.6805942
,0.6754255
,0.6704341
,0.6653503
,0.6607426
,0.6562364
,0.6523235
,0.6480933
,0.6444801
,0.6408525
,0.6377704
,0.6346697
,0.6322457
,0.629573
,0.6271173
,0.6244648
,0.6223217
,0.6199666
,0.6176113
,0.6157995
,0.6143003
,0.6132476
,0.6119686
,0.6114412
,0.6112723
,0.6112601
,0.6114942
,0.6117741
,0.6124743
,0.6135299
,0.6150239
,0.6167744
,0.618821
,0.6209154
,0.6235084
,0.6260138
,0.6283859
,0.6315041
,0.6343722
,0.6376972
,0.6410585
,0.645164
,0.649088
,0.6533113
,0.6574965
,0.6618319
,0.6664867
,0.6713816
,0.6762985
,0.6816874
,0.6871225
,0.6925805
,0.6981406
,0.7037594
,0.7097554
,0.7159321
,0.7224879
,0.7281496
,0.7344007
,0.7391919
,0.7330909
,0.7261413
,0.7193881
,0.7126181
,0.7053075
,0.697608
,0.6911509
,0.6858495
,0.6791154
,0.6725788
,0.6657026
,0.6590066
,0.6529549
,0.6452416
,0.6381649
,0.6316954
,0.6235802
,0.6167548
,0.6104993
,0.600143
,0.5934904
,0.586873
,0.5799876
,0.5734999
,0.5676658
,0.5599655
,0.5531171
,0.5482299
,0.5415105
,0.5347362
,0.5283437
,0.5211124
,0.5137545
,0.5061429
,0.4989516
,0.4919091
,0.4847355
,0.4792309
,0.4723383
,0.4657133
,0.4581698
,0.4514956
,0.4451817
,0.4392843
,0.4330251
,0.4273883
,0.4233284
,0.4176765
,0.4132843
,0.408143
,0.4026516
,0.3962811
,0.3910592
,0.3860685
,0.3824698
,0.3779863
,0.3731041
,0.3690307
,0.3694625
,0.3649215
,0.3606222
,0.3493881
,0.3452919
,0.3423873
,0.338724
,0.3350936
,0.3347895
,0.3315643
,0.3284805
,0.324357
,0.3214559
,0.3188891
,0.3171817
,0.3149038
,0.312917
,0.3117005
,0.3099784
,0.3080731
,0.3057062
,0.3041815
